ISO3,Country Name,Region,SIDS,LDCs
RWA,Rwanda,Africa,FALSE,TRUE
KNA,Saint Kitts and Nevis,Latin America and the Caribbean,TRUE,FALSE
LCA,Saint Lucia,Latin America and the Caribbean,TRUE,FALSE
VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,TRUE,FALSE
WSM,Samoa,Asia-Pacific,TRUE,FALSE
SMR,San Marino,Western Europe and Others,FALSE,FALSE
STP,Sao Tome and Principe,Africa,TRUE,TRUE
SAU,Saudi Arabia,Asia-Pacific,FALSE,FALSE
SEN,Senegal,Africa,FALSE,TRUE
SRB,Serbia,Eastern Europe,FALSE,FALSE
SYC,Seychelles,Africa,TRUE,FALSE
SLE,Sierra Leone,Africa,FALSE,TRUE
SGP,Singapore,Asia-Pacific,TRUE,FALSE
SLB,Solomon Islands,Asia-Pacific,TRUE,TRUE
SOM,Somalia,Africa,FALSE,TRUE
ZAF,South Africa,Africa,FALSE,FALSE
SSD,South Sudan,Africa,FALSE,TRUE
LKA,Sri Lanka,Asia-Pacific,FALSE,FALSE
PSE,State of Palestine,Asia-Pacific,FALSE,FALSE
SDN,Sudan,Africa,FALSE,TRUE
SUR,Suriname,Latin America and the Caribbean,TRUE,FALSE
SYR,Syrian Arab Republic,Asia-Pacific,FALSE,FALSE
TJK,Tajikistan,Asia-Pacific,FALSE,FALSE
TZA,Tanzania,Africa,FALSE,TRUE
THA,Thailand,Asia-Pacific,FALSE,FALSE
TLS,Timor-Leste,Asia-Pacific,TRUE,TRUE
TGO,Togo,Africa,FALSE,TRUE
TON,Tonga,Asia-Pacific,TRUE,FALSE
TTO,Trinidad and Tobago,Latin America and the Caribbean,TRUE,FALSE
TUN,Tunisia,Africa,FALSE,FALSE
TKM,Turkmenistan,Asia-Pacific,FALSE,FALSE
TUV,Tuvalu,Asia-Pacific,TRUE,TRUE
UGA,Uganda,Africa,FALSE,TRUE
ARE,United Arab Emirates,Asia-Pacific,FALSE,FALSE
URY,Uruguay,Latin America and the Caribbean,FALSE,FALSE
UZB,Uzbekistan,Asia-Pacific,FALSE,FALSE
VUT,Vanuatu,Asia-Pacific,TRUE,FALSE
VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,FALSE,FALSE
VNM,Viet Nam,Asia-Pacific,FALSE,FALSE
YEM,Yemen,Asia-Pacific,FALSE,TRUE
ZMB,Zambia,Africa,FALSE,TRUE
ZWE,Zimbabwe,Africa,FALSE,FALSE
